question,type,ground_truth,llm_correct,rag_correct,agent_correct
2024년 삼성전자 매출액이 얼마야?,재무수치,300조 8709억원,False,True,True
2023년 SK하이닉스 영업이익은 얼마야?,재무수치,-8조 2696억원,False,True,True
2024년 현대자동차 자산총계는?,재무수치,339조 7984억원,False,True,True
2024년 LG에너지솔루션 영업이익은?,재무수치,0조 5753억원,False,True,True
2022년 NAVER 매출액이 얼마야?,재무수치,8조 2200억원,False,True,True
삼성전자 최근 반도체 업황 관련 뉴스 알려줘,뉴스/동향,,,,
SK하이닉스 최근 실적 전망은 어때?,뉴스/동향,,,,
현대자동차 전기차 시장 관련 최근 동향은?,뉴스/동향,,,,
LG에너지솔루션 최근 배터리 시장 이슈는?,뉴스/동향,,,,
NAVER 최근 AI 사업 관련 소식은?,뉴스/동향,,,,
